DIESEL;14;
ESPECIAL;25;
ESPECIAL;30;
SUPER;26;
REGULAR;15;
DIESEL;27;
ESPECIAL;29;
ESPECIAL;23;
REGULAR;28;
SUPER;21;
ESPECIAL;27;
ESPECIAL;7;
SUPER;25;
SUPER;23;
DIESEL;15;
DIESEL;28;
REGULAR;15;
SUPER;17;
REGULAR;16;
REGULAR;9;
REGULAR;30;
SUPER;10;
ESPECIAL;7;
DIESEL;29;
ESPECIAL;9;
SUPER;30;
SUPER;9;
DIESEL;7;
SUPER;24;
REGULAR;20;
SUPER;11;
SUPER;24;
SUPER;12;
DIESEL;30;
ESPECIAL;10;
SUPER;16;
SUPER;8;
REGULAR;12;
REGULAR;27;
DIESEL;25;
ESPECIAL;19;
DIESEL;12;
SUPER;25;
SUPER;24;
DIESEL;24;
SUPER;25;
