ESPECIAL;10;
DIESEL;12;
ESPECIAL;18;
DIESEL;24;
DIESEL;9;
ESPECIAL;24;
REGULAR;14;
REGULAR;8;
ESPECIAL;24;
ESPECIAL;16;
ESPECIAL;6;
REGULAR;25;
ESPECIAL;7;
DIESEL;29;
SUPER;11;
SUPER;15;
REGULAR;20;
REGULAR;21;
SUPER;21;
SUPER;30;
REGULAR;27;
SUPER;10;
SUPER;26;
ESPECIAL;18;
REGULAR;13;
REGULAR;5;
DIESEL;16;
SUPER;26;
SUPER;22;
DIESEL;17;
REGULAR;21;
SUPER;23;
DIESEL;14;
SUPER;16;
ESPECIAL;22;
REGULAR;13;
REGULAR;21;
DIESEL;13;
SUPER;12;
REGULAR;5;
DIESEL;24;
DIESEL;22;
DIESEL;5;
SUPER;22;
DIESEL;22;
DIESEL;7;
REGULAR;6;
ESPECIAL;16;
DIESEL;22;
ESPECIAL;29;
DIESEL;18;
SUPER;22;
REGULAR;12;
SUPER;20;
SUPER;29;
ESPECIAL;10;
ESPECIAL;9;
