DIESEL;7;
DIESEL;7;
DIESEL;18;
SUPER;17;
ESPECIAL;11;
REGULAR;8;
DIESEL;18;
ESPECIAL;14;
ESPECIAL;7;
DIESEL;26;
REGULAR;20;
DIESEL;8;
ESPECIAL;8;
REGULAR;20;
REGULAR;27;
ESPECIAL;18;
SUPER;21;
ESPECIAL;22;
DIESEL;26;
SUPER;25;
DIESEL;25;
DIESEL;10;
DIESEL;15;
DIESEL;19;
SUPER;20;
DIESEL;22;
REGULAR;28;
REGULAR;24;
DIESEL;28;
REGULAR;8;
ESPECIAL;15;
REGULAR;18;
ESPECIAL;29;
SUPER;7;
ESPECIAL;13;
REGULAR;27;
REGULAR;25;
SUPER;20;
ESPECIAL;5;
ESPECIAL;17;
DIESEL;7;
REGULAR;5;
ESPECIAL;20;
DIESEL;6;
