DIESEL;11;
DIESEL;12;
ESPECIAL;15;
SUPER;13;
DIESEL;20;
SUPER;23;
DIESEL;22;
SUPER;7;
SUPER;21;
ESPECIAL;16;
DIESEL;9;
DIESEL;7;
SUPER;9;
DIESEL;15;
DIESEL;27;
ESPECIAL;28;
DIESEL;5;
SUPER;8;
SUPER;7;
ESPECIAL;25;
ESPECIAL;5;
REGULAR;29;
REGULAR;29;
REGULAR;13;
SUPER;5;
DIESEL;5;
SUPER;28;
DIESEL;7;
REGULAR;26;
ESPECIAL;9;
REGULAR;30;
SUPER;7;
DIESEL;23;
ESPECIAL;19;
REGULAR;6;
DIESEL;8;
DIESEL;28;
DIESEL;19;
SUPER;17;
ESPECIAL;15;
REGULAR;6;
ESPECIAL;29;
REGULAR;19;
ESPECIAL;7;
SUPER;14;
REGULAR;20;
REGULAR;25;
SUPER;25;
REGULAR;24;
SUPER;15;
DIESEL;25;
ESPECIAL;21;
REGULAR;27;
REGULAR;7;
