DIESEL;19;
REGULAR;11;
SUPER;20;
DIESEL;5;
REGULAR;7;
REGULAR;16;
DIESEL;29;
SUPER;7;
ESPECIAL;14;
SUPER;27;
REGULAR;15;
ESPECIAL;9;
REGULAR;27;
SUPER;28;
SUPER;6;
REGULAR;25;
REGULAR;9;
DIESEL;6;
DIESEL;28;
SUPER;20;
REGULAR;12;
SUPER;5;
ESPECIAL;15;
ESPECIAL;23;
DIESEL;25;
ESPECIAL;22;
SUPER;20;
SUPER;12;
SUPER;13;
REGULAR;22;
DIESEL;21;
DIESEL;19;
ESPECIAL;8;
REGULAR;30;
DIESEL;12;
SUPER;13;
REGULAR;5;
REGULAR;16;
ESPECIAL;29;
SUPER;16;
ESPECIAL;24;
REGULAR;26;
REGULAR;5;
SUPER;23;
REGULAR;11;
REGULAR;7;
