ESPECIAL;17;
DIESEL;19;
REGULAR;7;
ESPECIAL;26;
ESPECIAL;21;
DIESEL;6;
REGULAR;22;
DIESEL;12;
ESPECIAL;17;
ESPECIAL;28;
REGULAR;9;
REGULAR;6;
REGULAR;27;
ESPECIAL;27;
REGULAR;10;
REGULAR;24;
DIESEL;17;
DIESEL;26;
DIESEL;24;
DIESEL;11;
DIESEL;14;
ESPECIAL;7;
SUPER;11;
SUPER;30;
REGULAR;6;
ESPECIAL;7;
ESPECIAL;23;
DIESEL;16;
REGULAR;15;
ESPECIAL;6;
SUPER;30;
SUPER;6;
SUPER;26;
DIESEL;23;
DIESEL;19;
REGULAR;12;
REGULAR;30;
REGULAR;10;
ESPECIAL;28;
REGULAR;14;
REGULAR;12;
SUPER;22;
DIESEL;16;
REGULAR;7;
ESPECIAL;27;
SUPER;12;
ESPECIAL;16;
ESPECIAL;6;
REGULAR;13;
DIESEL;10;
DIESEL;30;
