REGULAR;7;
REGULAR;18;
ESPECIAL;12;
SUPER;15;
REGULAR;15;
SUPER;12;
SUPER;19;
SUPER;15;
DIESEL;9;
SUPER;11;
ESPECIAL;9;
REGULAR;10;
SUPER;24;
DIESEL;10;
REGULAR;5;
DIESEL;14;
ESPECIAL;6;
SUPER;6;
REGULAR;27;
SUPER;30;
REGULAR;13;
DIESEL;19;
ESPECIAL;25;
REGULAR;7;
REGULAR;10;
ESPECIAL;17;
SUPER;6;
ESPECIAL;6;
SUPER;25;
REGULAR;5;
REGULAR;10;
DIESEL;27;
SUPER;23;
ESPECIAL;29;
DIESEL;6;
ESPECIAL;27;
SUPER;8;
DIESEL;9;
REGULAR;23;
DIESEL;10;
REGULAR;8;
DIESEL;19;
SUPER;18;
REGULAR;24;
REGULAR;21;
SUPER;26;
DIESEL;6;
DIESEL;12;
REGULAR;25;
DIESEL;17;
