ESPECIAL;20;
SUPER;30;
SUPER;18;
DIESEL;27;
REGULAR;5;
ESPECIAL;19;
REGULAR;7;
ESPECIAL;26;
ESPECIAL;9;
SUPER;26;
SUPER;9;
ESPECIAL;15;
SUPER;23;
DIESEL;10;
REGULAR;25;
SUPER;26;
DIESEL;28;
REGULAR;17;
SUPER;25;
DIESEL;16;
REGULAR;23;
SUPER;30;
DIESEL;28;
ESPECIAL;8;
REGULAR;10;
DIESEL;18;
REGULAR;8;
ESPECIAL;6;
REGULAR;25;
ESPECIAL;21;
ESPECIAL;23;
ESPECIAL;21;
SUPER;13;
ESPECIAL;8;
REGULAR;27;
REGULAR;25;
ESPECIAL;13;
ESPECIAL;9;
DIESEL;29;
ESPECIAL;21;
REGULAR;17;
REGULAR;16;
DIESEL;20;
REGULAR;23;
REGULAR;26;
ESPECIAL;24;
DIESEL;26;
SUPER;23;
